utterance,gold_intent,facts,constraints,allowed_intents,suppressed_intents
show root cause analysis for outage,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what caused memory leak in app,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze cpu consumption trends,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate disk I/O bottleneck,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is application responding slowly,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check what went wrong with deployment,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate failed authentication attempts,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why did backup job fail,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze network latency issues,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what is causing service degradation,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate high error rate,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why did health check fail,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check what caused the crash,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate timeout errors,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is cache miss rate high,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze exception logs,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate connection pool exhaustion,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why are requests queued,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check what's causing the bottleneck,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate memory fragmentation,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is cpu throttling happening,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze performance metrics,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate deadlock in database,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is replication lagging,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check what caused sync failure,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate cluster node failure,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why are containers crashing,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze resource constraints,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate queue backlog,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is throughput degraded,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check what went wrong,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
why is the ssl certificate expired on prod,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
can you look into the dns resolution failure,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what is causing packet loss on the network,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate the sudden increase in 5xx errors,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the api gateway returning 503,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the thread dump from app server,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
check why cron jobs are failing,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
what caused the spike in garbage collection time,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate why websocket connections are dropping,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
why is the message broker not consuming messages,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the storage IOPS issue,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what is causing the high swap usage on node-5,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the slow query logs for the past hour,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': True}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
check why the read replicas are out of sync,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate the TLS handshake failures,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the CDN cache invalidation not working,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
examine the kernel panic logs on host-42,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what caused the pod evictions in kubernetes,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate the intermittent connection resets,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the redis cluster showing high fragmentation,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check the firewall rules blocking traffic,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
analyze the heap dump for memory leak,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate the data corruption in table orders,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the queue consumer lagging behind producer,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
what triggered the auto-scaling event,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the certificate chain validation error,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
examine the audit logs for suspicious activity,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the etcd cluster showing leader election issues,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate the network partition between zones,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what is causing the high p99 latency,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check why the batch processing job is stuck,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
analyze the jvm thread contention issue,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the load test showing degraded throughput,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate the file descriptor leak,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what caused the split brain in the cluster,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the http connection pool timeout,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the search indexer falling behind,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
check the correlation between cpu spike and deployments,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate the disk write latency on ssd array,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what is causing the oauth token refresh failures,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze why the canary deployment is showing errors,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
check why the health endpoint is returning stale data,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate the memory pressure alerts on worker nodes,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the graphql resolver timing out,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the prometheus scrape failures,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what caused the raft consensus timeout,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate the grpc deadline exceeded errors,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the connection draining taking too long,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the rate of retries on downstream calls,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
check what is causing the event loop blocking,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate the segfault in the native module,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the WAL replay taking hours on postgres,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
what caused the index corruption on elasticsearch,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the consistent hashing rebalance issue,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the service mesh sidecar consuming too much cpu,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate the clock skew between nodes,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what is causing the write amplification on the database,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the open file handle count on prod servers,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
check why the circuit breaker keeps tripping,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate the cold start latency in serverless functions,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the bloom filter returning false positives,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the mutex contention on shared resource,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what caused the thundering herd on cache expiry,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate the asymmetric network routing issue,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the compaction process stalling on cassandra,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the tombstone accumulation in the database,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
check the tcp retransmission rate on the interface,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate the cross-region replication delay,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the garbage collector pausing for 500ms,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the inode exhaustion on the log partition,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
what caused the connection storm after failover,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
investigate the flapping health checks,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the dns ttl causing stale lookups,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the kernel scheduler latency spikes,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
check what is triggering the oom killer,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate the ssl renegotiation overhead,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the background job worker deadlocking,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
what caused the data skew in the partitioned table,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the nfs mount hanging issue,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate the spurious wakeups in the thread pool,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
