utterance,intent,entity_type,domain_valid
tell me about the great barrier reef,out_of_scope,service,False
provide node status summary,summarization,infrastructure,True
investigate the broken pipe errors in application logs,investigate,metric,True
what is causing service degradation,investigate,service,True
tell me about the crusades,out_of_scope,service,False
how do I learn morse code,out_of_scope,unknown,False
provide a brief on the key metrics from last night,summarization,metric,True
why does the pod take too long to enter running state,investigate,infrastructure,True
why is the redis cluster showing high fragmentation,investigate,infrastructure,True
what is meteorology,out_of_scope,metric,False
investigate high error rate,investigate,metric,True
summarize the cost optimization actions taken this month,summarization,metric,True
summarize the etl job success and failure rates,summarization,unknown,True
how do I make ramen from scratch,out_of_scope,unknown,False
run the health check script on all instances,execution,metric,True
tell me about the spanish armada,out_of_scope,service,False
summarize what actions were taken,summarization,unknown,False
provide a brief on the long-running query trends,summarization,infrastructure,True
give me a summary of the latency percentile trends,summarization,metric,True
what is relativity theory,out_of_scope,infrastructure,False
provide a recap of the automated remediation actions,summarization,service,True
give me a recap of the key findings from the postmortem review,summarization,unknown,False
how do I surf,out_of_scope,unknown,False
give me a summary of the api consumer adoption trends,summarization,service,True
update the known hosts file after host migration,execution,service,True
apply the io scheduler change to deadline,execution,infrastructure,True
summarize the ssl certificate expiry status across services,summarization,infrastructure,True
analyze the latency introduced by the proxy sidecar,investigate,infrastructure,True
how is the weather today,out_of_scope,unknown,False
configure the container registry garbage collection,execution,pipeline,True
how do I tie a tie,out_of_scope,unknown,False
summarize the user impact analysis from the last incident,summarization,incident,True
what is causing the excessive memory paging,investigate,unknown,False
check why the ephemeral storage is filling up quickly,investigate,infrastructure,True
check what caused the crash,investigate,metric,True
provide a recap of the cross-service dependency changes,summarization,service,True
give me a summary of the top database tables by row count,summarization,infrastructure,True
why is the snapshot restore taking longer than expected,investigate,infrastructure,True
what is causing the repeated auth failures,investigate,infrastructure,True
what is the stock market,out_of_scope,unknown,False
provide a brief on the ratio of planned versus unplanned work,summarization,service,True
check why the api gateway is caching stale tokens,investigate,infrastructure,True
tell me about music,out_of_scope,unknown,False
what is a catalyst,out_of_scope,infrastructure,False
summarize the release impact on key user flows,summarization,metric,True
tell me about architecture,out_of_scope,unknown,False
what is the speed of light,out_of_scope,unknown,False
what is a gene,out_of_scope,infrastructure,False
restart container,execution,pipeline,True
give me a summary of alerts for last week,summarization,metric,True
investigate why websocket connections are dropping,investigate,unknown,True
set the socket receive buffer size for throughput,execution,service,True
investigate the intermittent connection resets,investigate,infrastructure,True
what is causing the service to consume 100 percent cpu,investigate,service,True
give me an overview of the tenant usage statistics,summarization,service,True
investigate the async callback queue overflow,investigate,service,True
summarize the system hardening checklist compliance,summarization,service,True
how do I train a dog basic commands,out_of_scope,unknown,False
summarize what alerts fired during the incident window,summarization,metric,True
why is the compaction process stalling on cassandra,investigate,unknown,False
summarize the third party integration health,summarization,service,True
run the chaos engineering test on staging,execution,job,True
what is anthropology,out_of_scope,metric,False
summarize incident timeline,summarization,incident,True
what is a supernova,out_of_scope,infrastructure,False
update the kerberos keytab on the server,execution,unknown,False
give me an overview of the external dependency health,summarization,service,True
why is the etcd cluster showing leader election issues,investigate,infrastructure,True
summarize the api gateway performance for the past sprint,summarization,infrastructure,True
what is the greenhouse gas,out_of_scope,unknown,False
give me a brief on the vendor incident reports,summarization,incident,True
how do I play tennis,out_of_scope,unknown,False
apply the resource quota to the namespace,execution,infrastructure,True
who discovered electricity,out_of_scope,unknown,False
give me a brief on the service health dashboard metrics,summarization,service,True
provide a brief on the rollback rate trends,summarization,infrastructure,True
how do I make miso paste,out_of_scope,unknown,False
run the trivy vulnerability scan on the image,execution,unknown,False
cordon the node before maintenance,execution,infrastructure,True
why is the background sync job being preempted,investigate,service,True
apply the coredns custom forwarding rule,execution,infrastructure,True
summarize the compliance remediation progress,summarization,service,True
enable cross-origin resource sharing headers,execution,infrastructure,True
summarize capacity report,summarization,unknown,False
why is the reverse proxy adding unexpected headers,investigate,infrastructure,True
check what is causing the cache stampede,investigate,infrastructure,True
enable the web application firewall rules,execution,service,True
analyze the kernel scheduler latency spikes,investigate,service,True
give me an overview of the capacity headroom by service,summarization,service,True
who is galileo,out_of_scope,infrastructure,False
how do I tie dye a shirt,out_of_scope,unknown,False
provide a brief on the retry rate trends,summarization,infrastructure,True
provide a brief on the system vulnerability exposure index,summarization,service,True
start the disaster recovery failover procedure,execution,service,True
how do I whistle,out_of_scope,unknown,False
how do I skip stones,out_of_scope,unknown,False
summarize the multi-region deployment status,summarization,pipeline,True
enable the vpa recommendation mode on the namespace,execution,infrastructure,True
run the tls delegation certificate signing request,execution,infrastructure,True
tell me about the maya calendar,out_of_scope,service,False
what is magnetism,out_of_scope,infrastructure,False
what is nanotechnology,out_of_scope,metric,False
investigate the cache warmup causing latency at startup,investigate,infrastructure,True
investigate the http pipelining issue on the proxy,investigate,infrastructure,True
investigate the namespace collision in kubernetes,investigate,infrastructure,True
summarize the data pipeline execution summary,summarization,pipeline,True
how do I learn how to play harmonica,out_of_scope,unknown,False
why is the health status endpoint returning wrong version,investigate,service,True
investigate the data corruption in table orders,investigate,service,True
check why the circuit breaker keeps tripping,investigate,infrastructure,True
why are write locks being held for too long,investigate,service,True
what is a black dwarf star,out_of_scope,infrastructure,False
reset application state,execution,unknown,False
give me a brief on the auto-scaling behavior this week,summarization,service,True
give me an overview of the kafka consumer lag trends,summarization,service,True
prune the docker volumes on the build agent,execution,service,True
configure the retry policy with exponential backoff,execution,infrastructure,True
tell me about the sumerian civilization,out_of_scope,service,False
why is the ssl certificate expired on prod,investigate,infrastructure,True
who is aristotle and his philosophy,out_of_scope,infrastructure,False
look into the certificate chain validation error,investigate,infrastructure,True
check what is causing the spike in error rate,investigate,unknown,True
provide cache hit summary,summarization,infrastructure,True
force garbage collection,execution,unknown,False
redeploy the microservice with the fix,execution,service,True
how do I start a garden,out_of_scope,unknown,False
provide a recap of the data pipeline job outcomes,summarization,pipeline,True
why is the dns ttl causing stale lookups,investigate,infrastructure,True
rebalance the kafka topic partitions,execution,service,True
what is causing the node disk pressure warning,investigate,infrastructure,True
scale job scheduler,execution,job,True
why is the batch job consuming all available memory,investigate,job,True
what time is it,out_of_scope,infrastructure,False
how do I clean a cast iron pan,out_of_scope,unknown,False
how do I make a quilt,out_of_scope,unknown,False
how do I make pesto from scratch,out_of_scope,unknown,False
who is florence nightingale,out_of_scope,infrastructure,False
how do I learn to surf beginner tips,out_of_scope,unknown,False
give me an overview of the platform reliability metrics,summarization,metric,True
enable the transparent hugepages for the database,execution,infrastructure,True
provide a brief on the jvm memory pool utilization,summarization,infrastructure,True
scale the worker pool to 20 instances,execution,infrastructure,True
provide a summary of the dns query patterns,summarization,infrastructure,True
examine the kernel panic logs on host-42,investigate,metric,True
migrate the database schema to version 3.2,execution,infrastructure,True
give me a summary of the top recurring failure modes,summarization,infrastructure,True
check the semaphore deadlock in the process pool,investigate,unknown,False
update the opensearch index template,execution,service,True
why are retries increasing the backend load,investigate,job,True
analyze the cause of the high cardinality in logs,investigate,metric,True
who is frida kahlo,out_of_scope,infrastructure,False
enable the numa-aware memory allocation,execution,service,True
what is climate change,out_of_scope,infrastructure,False
why is the distributed transaction not committing,investigate,metric,True
tell me about the golden age of islam,out_of_scope,metric,False
switch traffic to the blue deployment,execution,pipeline,True
what is a solar system,out_of_scope,infrastructure,False
give me a summary of the resource consumption by service,summarization,service,True
give me a summary of the top 10 high-memory services,summarization,service,True
what is philosophy,out_of_scope,infrastructure,False
restart health check,execution,metric,True
enable the graceful shutdown sequence on the workers,execution,service,True
enable the maintenance page on the cdn,execution,service,True
give me an overview of the cache performance metrics,summarization,infrastructure,True
summarize monthly trends,summarization,metric,True
summarize the api gateway error breakdown for the week,summarization,infrastructure,True
who is napoleon,out_of_scope,infrastructure,False
summarize the api deprecation timeline and impact,summarization,service,True
provide a recap of the compliance checks this quarter,summarization,metric,True
how do I fold a paper airplane,out_of_scope,unknown,False
how do I build a model train,out_of_scope,unknown,False
investigate the cpu steal time on the vm host,investigate,service,True
give me a summary of the audit findings by control area,summarization,unknown,False
how do I draw,out_of_scope,unknown,False
check why the replica is not accepting writes,investigate,infrastructure,True
configure the slack webhook for incident notifications,execution,incident,True
tell me about coral reefs,out_of_scope,unknown,False
analyze the high rate of cache evictions,investigate,infrastructure,True
bounce the application pool in iis,execution,infrastructure,True
configure the secret zero bootstrap for the service,execution,service,True
analyze the cpu soft irq time spikes,investigate,service,True
label the nodes for the gpu workload,execution,infrastructure,True
what is evolution,out_of_scope,infrastructure,False
investigate the stale configmap being used after rollout,investigate,unknown,False
apply the updated retention policy to the log bucket,execution,metric,True
remove the stale cname record,execution,service,True
how do I make a terrarium,out_of_scope,unknown,False
tell me about chameleons,out_of_scope,unknown,False
sync the configuration from the control plane,execution,service,True
who invented the airplane,out_of_scope,service,False
restart the coordination service,execution,service,True
enable the brotli compression on the proxy,execution,infrastructure,True
execute the blue green deployment switch,execution,pipeline,True
investigate the slow kafka consumer group commit,investigate,service,True
apply the horizontal pod autoscaler policy,execution,infrastructure,True
summarize the load test results from yesterday,summarization,job,True
enable circuit breaker,execution,infrastructure,True
what is the most spoken language in the world,out_of_scope,unknown,False
enable the slow query log on the database,execution,infrastructure,True
check what is causing the repeated pod preemptions,investigate,infrastructure,True
check what caused sync failure,investigate,metric,True
provide a recap of the capacity forecast model output,summarization,job,True
what is entropy,out_of_scope,infrastructure,False
why are the kubernetes events showing back-off restart,investigate,infrastructure,True
give me an overview of the service catalog coverage gaps,summarization,service,True
tell me about wolves,out_of_scope,unknown,False
configure the cache-control headers on the web server,execution,infrastructure,True
provide a brief on the api deprecation timeline,summarization,service,True
give me an overview of the cold storage growth rate,summarization,infrastructure,True
what is painting,out_of_scope,infrastructure,False
summarize the network policy audit results,summarization,infrastructure,True
give me an overview of the pod scheduling efficiency,summarization,infrastructure,True
apply rate limiting,execution,infrastructure,True
check why the liveness probe keeps failing,investigate,metric,True
provide a brief on the observability coverage by service,summarization,service,True
who wrote a midsummer night dream,out_of_scope,unknown,False
tell me about the machu picchu history,out_of_scope,service,False
investigate the multicast routing failure on the switch,investigate,unknown,True
deploy the latest build to staging,execution,service,True
analyze the failed deployment,investigate,pipeline,True
what is causing the session timeout in the middleware,investigate,unknown,True
what is causing the frequent index rebuilds,investigate,unknown,False
why is the etl pipeline producing duplicate records,investigate,pipeline,True
summarize the infrastructure drift detection report,summarization,metric,True
who composed the magic flute,out_of_scope,service,False
summarize the security audit findings,summarization,infrastructure,True
why is the dns resolution returning stale results,investigate,infrastructure,True
run the cluster health verification script,execution,infrastructure,True
rotate the ssl certificates on all endpoints,execution,infrastructure,True
tell me about the sahara desert,out_of_scope,service,False
summarize the test coverage and quality metrics,summarization,metric,True
tell me about penguins,out_of_scope,unknown,False
disable the noisy alerting rule temporarily,execution,metric,True
configure the nfs export options for the new client,execution,service,True
how do I make soap,out_of_scope,unknown,False
how do I make natural dye,out_of_scope,unknown,False
tell me about the gold rush,out_of_scope,service,False
analyze the thread dump from app server,investigate,infrastructure,True
tell me about ancient rome,out_of_scope,unknown,False
why is replication lagging,investigate,infrastructure,True
check what is causing the event loop blocking,investigate,metric,True
enable http2 on the reverse proxy,execution,infrastructure,True
provide a brief on the availability by region,summarization,metric,True
investigate the segfault in the native module,investigate,service,True
why are there checksum mismatches in the storage layer,investigate,infrastructure,True
what is causing the write amplification on the database,investigate,infrastructure,True
what is the speed of a bullet,out_of_scope,unknown,False
tell me about fashion,out_of_scope,unknown,False
who is the president,out_of_scope,unknown,False
investigate the network timeout between microservices,investigate,service,True
provide a brief on the change management board decisions,summarization,infrastructure,True
why is the service mesh reporting timeout for internal calls,investigate,infrastructure,True
what is a haiku,out_of_scope,infrastructure,False
enable the preemptive cache warming job,execution,infrastructure,True
capture a packet trace on the pod interface,execution,infrastructure,True
what caused the data skew in the partitioned table,investigate,service,True
investigate the mismatch between reported and actual cpu,investigate,service,True
summarize queue depth,summarization,service,True
summarize user impact,summarization,unknown,False
what is causing the abnormal number of goroutines,investigate,unknown,False
what is literature,out_of_scope,infrastructure,False
give me an overview of the api usage patterns,summarization,service,True
tell me about butterflies,out_of_scope,unknown,False
apply the datadog apm sampling configuration,execution,service,True
what caused the alert flood at midnight,investigate,metric,True
what is an electron shell,out_of_scope,infrastructure,False
give me an overview of the endpoint latency distribution,summarization,service,True
run the node affinity migration for gpu pods,execution,infrastructure,True
tell me about the maya civilization,out_of_scope,service,False
upgrade the control plane to the new version,execution,service,True
analyze the slow shutdown of the worker process,investigate,unknown,True
provide a summary of the data replication lag trends,summarization,metric,True
what is inflation,out_of_scope,infrastructure,False
tell me about the silk road trade route,out_of_scope,service,False
who is charles darwin,out_of_scope,infrastructure,False
provide a recap of the database migration results,summarization,infrastructure,True
why is the object storage throughput degraded,investigate,infrastructure,True
set up the vpn tunnel to the partner network,execution,unknown,False
configure the log shipping to the siem,execution,metric,True
analyze the inconsistency in the distributed counter,investigate,unknown,False
how do I make sourdough bread,out_of_scope,unknown,False
summarize the cluster health over the past 30 days,summarization,infrastructure,True
reset network interface,execution,infrastructure,True
summarize the service level objective performance,summarization,service,True
deploy the new gateway api version,execution,service,True
run the storage migration to the new array,execution,infrastructure,True
analyze the numa imbalance on the multi-socket server,investigate,unknown,False
what is a wormhole,out_of_scope,infrastructure,False
tell me about the viking age,out_of_scope,service,False
what is archaeology,out_of_scope,metric,False
give me a summary of the connection draining patterns,summarization,infrastructure,True
summarize deployment changes,summarization,pipeline,True
apply security rules,execution,unknown,False
give me event summary,summarization,unknown,False
tell me about mount everest,out_of_scope,unknown,False
analyze the slow query logs for the past hour,investigate,infrastructure,True
why is the secret rotation breaking dependent services,investigate,service,True
what is the largest country by area,out_of_scope,unknown,False
push the puppet manifest changes to production,execution,service,True
run the smoke test suite after the deployment,execution,pipeline,True
what is renewable energy,out_of_scope,infrastructure,False
who is claude monet,out_of_scope,infrastructure,False
enable the kernel huge pages for the database host,execution,infrastructure,True
check why the alerting rule is not firing,investigate,metric,True
check what triggered the node eviction,investigate,infrastructure,True
restart the elasticsearch cluster rolling,execution,infrastructure,True
tell me about eagles,out_of_scope,unknown,False
restart the gossip protocol seed nodes,execution,infrastructure,True
why are the job workers being starved of resources,investigate,unknown,False
provide a brief recap of the service ownership audit,summarization,service,True
give me a summary of the distributed tracing insights,summarization,metric,True
who wrote war and peace,out_of_scope,unknown,False
how do I write poetry,out_of_scope,unknown,False
configure the cosign policy for image verification,execution,pipeline,True
what is the speed of sound,out_of_scope,unknown,False
what is the law of thermodynamics,out_of_scope,unknown,False
give me a summary of the api error taxonomy this sprint,summarization,service,True
investigate the hot partition in the event stream,investigate,service,True
who is edgar allan poe,out_of_scope,infrastructure,False
configure the session affinity timeout,execution,service,True
how do I make a dreamcatcher,out_of_scope,unknown,False
provide a recap of the endpoint coverage by synthetic monitors,summarization,service,True
tell me about the roman empire,out_of_scope,service,False
tell me about the tang dynasty,out_of_scope,service,False
investigate the request timeout during peak traffic,investigate,service,True
who is pablo picasso,out_of_scope,infrastructure,False
give me an overview of the container runtime health,summarization,pipeline,True
tell me about the byzantine empire,out_of_scope,service,False
apply the cors policy update on the gateway,execution,unknown,False
configure the pgbouncer pool size,execution,infrastructure,True
tell me about thunderstorms,out_of_scope,unknown,False
configure the topology spread constraints,execution,metric,True
investigate the frequent oom kills in the sidecar,investigate,service,True
how do tides work,out_of_scope,unknown,False
configure the connection timeout to 30 seconds,execution,infrastructure,True
give me a summary of the compute reservation coverage,summarization,service,True
who is wassily kandinsky,out_of_scope,infrastructure,False
what is the milky way galaxy,out_of_scope,unknown,False
trigger the failback to the primary region,execution,service,True
update the helm chart values and upgrade release,execution,pipeline,True
why are there duplicate messages in the event stream,investigate,service,True
how do I speak italian,out_of_scope,unknown,False
what is a chromosomal mutation,out_of_scope,infrastructure,False
summarize the uptime report for all critical services,summarization,service,True
tell me about the titanic,out_of_scope,service,False
provide a recap of the patch compliance status,summarization,service,True
enable maintenance mode on the website,execution,service,True
switch the routing policy to latency-based,execution,infrastructure,True
give me a summary of the chaos experiment outcomes,summarization,service,True
who is beethoven,out_of_scope,infrastructure,False
what caused the spike in garbage collection time,investigate,service,True
approve the manual gate in the release pipeline,execution,pipeline,True
give me an overview of the secret management compliance,summarization,service,True
tell me about the great wall of china,out_of_scope,service,False
scale down the stateful set to zero replicas,execution,infrastructure,True
give me an overview of the fleet patching status,summarization,service,True
provide a summary of the ci cd pipeline performance,summarization,pipeline,True
what is the history of tea,out_of_scope,unknown,False
summarize the sla compliance for the past month,summarization,metric,True
how do I meditate properly,out_of_scope,unknown,False
summarize the write path latency breakdown by layer,summarization,unknown,True
what is a light year,out_of_scope,infrastructure,False
how do I speak japanese,out_of_scope,unknown,False
enable open file cache on the web server,execution,infrastructure,True
set up the service mesh mutual tls,execution,infrastructure,True
what is astrophysics,out_of_scope,infrastructure,False
give me a summary of the event-driven architecture reliability,summarization,service,True
what is the greenhouse effect,out_of_scope,unknown,False
enable the geo-restriction policy on the cdn,execution,unknown,False
who invented the printing press,out_of_scope,service,False
give me an overview of the application security posture,summarization,service,True
evict stale entries from the distributed cache,execution,infrastructure,True
what is the pythagorean theorem,out_of_scope,unknown,False
how do I play the violin,out_of_scope,service,False
restart service mesh,execution,infrastructure,True
what caused the rollback to fail midway,investigate,service,True
sync the parameter store values to the pods,execution,infrastructure,True
how do I do yoga,out_of_scope,unknown,False
check why the batch processing job is stuck,investigate,job,True
tell me about the polynesian navigation,out_of_scope,service,False
what is the longest river,out_of_scope,unknown,False
provide a brief on the endpoint deprecation usage,summarization,service,True
flush all active user sessions from the cache,execution,infrastructure,True
summarize the service mesh traffic routing changes,summarization,infrastructure,True
why is the bloom filter returning false positives,investigate,unknown,False
who is stephen hawking,out_of_scope,infrastructure,False
who is marco polo,out_of_scope,infrastructure,False
what is the tallest building in the world,out_of_scope,unknown,False
what is artificial intelligence,out_of_scope,infrastructure,False
tell me about the french revolution,out_of_scope,service,False
provide a recap of the change management decisions,summarization,infrastructure,True
what caused the deployment to break backward compatibility,investigate,pipeline,True
give me a summary of the disk growth trends by volume,summarization,metric,True
summarize service status,summarization,service,True
tell me about the french impressionism,out_of_scope,service,False
provide an overview of the deployment activity this sprint,summarization,pipeline,True
tell me about rainforests,out_of_scope,unknown,False
check what is causing the container image pull failure,investigate,pipeline,True
give me an overview of the user-facing error rate trends,summarization,metric,True
enable the continuous profiling on the service,execution,service,True
summarize the inter-service call failure rates,summarization,service,True
summarize the infrastructure readiness for the launch,summarization,unknown,False
add the new disk to the lvm volume group,execution,metric,True
how do birds navigate during migration,out_of_scope,unknown,False
flush the connection state on the stateful firewall,execution,unknown,False
investigate the evicted pods in the production namespace,investigate,infrastructure,True
enable the request coalescing on the cache layer,execution,infrastructure,True
what is your favorite color,out_of_scope,infrastructure,False
tell me about the sumerians,out_of_scope,service,False
what is zoology,out_of_scope,metric,False
how do I make a smoothie,out_of_scope,unknown,False
why is the persistent volume not being bound,investigate,service,True
give me a summary of the failed deployments this month,summarization,pipeline,True
flush the varnish cache for the stale content,execution,infrastructure,True
summarize the monitoring coverage by service tier,summarization,service,True
who is virginia woolf,out_of_scope,infrastructure,False
provide ecosystem summary,summarization,unknown,False
set up the monitoring alerts for the new service,execution,service,True
why are there conflicting iptables rules,investigate,unknown,False
summarize test results,summarization,job,True
summarize the dependency freshness across repositories,summarization,service,True
delete the unused container images on all nodes,execution,infrastructure,True
configure the max in-flight requests for the service,execution,service,True
why is the object lock conflicting with replication,investigate,infrastructure,True
what caused the database query plan regression,investigate,infrastructure,True
apply the terraform changes to the dev environment,execution,unknown,False
purge old logs,execution,metric,True
what is sculpture,out_of_scope,infrastructure,False
analyze the failed health probes in the cluster,investigate,infrastructure,True
what is plate tectonics,out_of_scope,infrastructure,False
look into the http connection pool timeout,investigate,infrastructure,True
provide a recap of the database deadlock frequency,summarization,infrastructure,True
tell me about the seven wonders of the world,out_of_scope,service,False
give me a recap of the storage utilization trends,summarization,infrastructure,True
how does the aurora borealis form,out_of_scope,service,False
tell me about the battle of waterloo,out_of_scope,service,False
update the tls cipher suite configuration,execution,infrastructure,True
run the data migration script for the new schema,execution,service,True
how do I make my own hot sauce,out_of_scope,unknown,False
summarize the network topology changes this sprint,summarization,metric,True
investigate the sudden increase in 5xx errors,investigate,service,True
summarize the open incidents and their current state,summarization,incident,True
give me an overview of the read write ratio by service,summarization,service,True
tell me about the ming emperors,out_of_scope,service,False
why is the object store showing inconsistent reads,investigate,infrastructure,True
analyze the latency spikes during peak hours,investigate,service,True
what is cellular respiration,out_of_scope,infrastructure,False
give me a summary of the certificate status across services,summarization,infrastructure,True
increase the connection pool size to 200,execution,infrastructure,True
what caused the thundering herd on cache expiry,investigate,infrastructure,True
why is the rpc client timing out during service restart,investigate,service,True
what is causing the repeated connection draining on alb,investigate,infrastructure,True
investigate the config map update causing service restart,investigate,service,True
how do I make coffee,out_of_scope,unknown,False
restart background worker,execution,infrastructure,True
what is the history of the olympic games,out_of_scope,unknown,False
how do I make mead,out_of_scope,unknown,False
apply the updated service account iam bindings,execution,service,True
provide a recap of the service discovery health checks,summarization,service,True
investigate the database slowdown,investigate,infrastructure,True
provide a brief on the release deployment frequency,summarization,pipeline,True
configure the codeowners file for the new team,execution,service,True
apply the storage class changes for the volumes,execution,infrastructure,True
provide a brief on the security incident response timeline,summarization,incident,True
summarize the operational readiness review findings,summarization,service,True
provide a recap of the planned maintenance windows,summarization,service,True
who wrote pride and prejudice,out_of_scope,unknown,False
why did health check fail,investigate,metric,True
why is the dns lookup causing increased latency,investigate,infrastructure,True
investigate the anomalously high network egress cost,investigate,metric,True
mount the nfs share on the batch server,execution,unknown,False
tell me about tigers,out_of_scope,unknown,False
summarize dependency status,summarization,service,True
provide a recap of the service-level objectives this period,summarization,service,True
provide a recap of the slow transaction breakdown,summarization,service,True
how do I start composting,out_of_scope,unknown,False
give me rollback summary,summarization,unknown,False
why is the cgroup memory limit being exceeded,investigate,service,True
summarize the capacity planning recommendations,summarization,service,True
why is the load test showing degraded throughput,investigate,job,True
investigate queue backlog,investigate,service,True
tell me about sports,out_of_scope,unknown,False
scale up the database replica,execution,infrastructure,True
run the network policy connectivity test,execution,infrastructure,True
who is copernicus,out_of_scope,infrastructure,False
summarize the uptime trend for payment services,summarization,service,True
who is the author of harry potter,out_of_scope,unknown,False
how do I learn to swim,out_of_scope,unknown,False
restart api gateway,execution,infrastructure,True
investigate the flaky test failures in ci environment,investigate,unknown,True
investigate the connection leak in the service,investigate,service,True
check why the distributed lock is not being released,investigate,service,True
tell me about whales,out_of_scope,unknown,False
summarize the api response times over the past month,summarization,service,True
give me an overview of the error distribution across services,summarization,service,True
what is the national animal of australia,out_of_scope,unknown,False
what is astronomy,out_of_scope,infrastructure,False
close the inactive elasticsearch indices,execution,service,True
why is the primary database not accepting connections,investigate,infrastructure,True
set up the pagerduty escalation policy,execution,infrastructure,True
update the oauth client credentials,execution,service,True
give me an overview of the request success rate by service,summarization,service,True
summarize resource usage,summarization,infrastructure,True
provide an overview of the deployment lead time trends,summarization,pipeline,True
what is a tidal wave,out_of_scope,infrastructure,False
analyze the io latency breakdown on nvme drives,investigate,metric,True
summarize alert trends,summarization,metric,True
summarize the storage tier migration progress,summarization,infrastructure,True
summarize the feature flag rollout status,summarization,service,True
check why the health check endpoint is slow,investigate,metric,True
apply hotfix,execution,unknown,False
why are the pod logs showing oom killed errors,investigate,infrastructure,True
apply the signed commit requirement on main branch,execution,service,True
why is the pod eviction disrupting the stateful workload,investigate,infrastructure,True
how do I grow a bonsai tree,out_of_scope,unknown,False
apply the egress network policy,execution,infrastructure,True
give me an overview of the telemetry pipeline health,summarization,pipeline,True
what is machine learning,out_of_scope,infrastructure,False
configure the vault policy for the new service,execution,service,True
run the dependency update bot on the repository,execution,service,True
give me a summary of the log ingestion volume trends,summarization,metric,True
flush the iptables nat rules,execution,service,True
investigate the ssl renegotiation overhead,investigate,service,True
create the ingress rule for the new subdomain,execution,unknown,False
set up the bulkhead pattern for the downstream service,execution,service,True
provide a brief on the disaster recovery drill results,summarization,service,True
give me a summary of the top services by error volume,summarization,service,True
disable the feature flag for dark mode,execution,service,True
analyze the socket backlog on the listener,investigate,metric,True
provide a brief on the traffic split during the canary,summarization,service,True
archive the old build artifacts from the registry,execution,service,True
give me a summary of the feature flag states in production,summarization,service,True
summarize the service deprecation and migration status,summarization,service,True
how do I make cheese at home,out_of_scope,unknown,False
why are database writes slowing down,investigate,infrastructure,True
run the storage filesystem consistency check,execution,infrastructure,True
set the resource limits on the logging sidecar,execution,metric,True
what is pharmacology,out_of_scope,metric,False
why is disk usage at 90 percent,investigate,metric,True
give me an overview of the deployment environment parity,summarization,pipeline,True
run the performance benchmark suite,execution,unknown,False
trigger the automated rollback procedure,execution,service,True
what caused the breach of the sla threshold,investigate,metric,True
restart the coredns deployment after config change,execution,infrastructure,True
look into the nfs mount hanging issue,investigate,service,True
provide health check summary,summarization,metric,True
upgrade the worker node pool to the target version,execution,infrastructure,True
investigate the concurrent write conflicts in the db,investigate,infrastructure,True
what is causing the connection reset errors,investigate,infrastructure,True
how do I play soccer,out_of_scope,unknown,False
why did the kubernetes job fail,investigate,infrastructure,True
block the suspicious ip range at the firewall,execution,service,True
what is causing the jitter in the rpc response times,investigate,unknown,True
restart the load balancer,execution,infrastructure,True
how do I make limoncello,out_of_scope,unknown,False
what is photosynthesis,out_of_scope,infrastructure,False
who is socrates,out_of_scope,infrastructure,False
tell me about owls,out_of_scope,unknown,False
