utterance,gold_intent,parsed_intent,entity,symptom,time_context,reasoning_mode
provide a brief on the api deprecation timeline,summarization,summarization,api,,,reporting
give me an overview of the cold storage growth rate,summarization,summarization,storage,,,reporting
what is painting,out_of_scope,out_of_scope,kubernetes_node,,,reject
summarize the network policy audit results,summarization,summarization,network_policy,,,reporting
give me an overview of the pod scheduling efficiency,summarization,summarization,pod,,,reporting
apply rate limiting,execution,execution,rate_limiting,,,action
check why the liveness probe keeps failing,investigate,investigate,health_check,failure,,diagnostic
provide a brief on the observability coverage by service,summarization,summarization,service,,,reporting
who wrote a midsummer night dream,out_of_scope,out_of_scope,,,,reject
tell me about the machu picchu history,out_of_scope,out_of_scope,message_queue,,,reject
investigate the multicast routing failure on the switch,investigate,investigate,,failure,,diagnostic
deploy the latest build to staging,execution,execution,message_queue,,,action
analyze the failed deployment,investigate,investigate,deployment,failure,,diagnostic
what is causing the session timeout in the middleware,investigate,investigate,,timeout,,diagnostic
what is causing the frequent index rebuilds,investigate,out_of_scope,,,,reject
why is the etl pipeline producing duplicate records,investigate,investigate,ci_cd_pipeline,,,diagnostic
summarize the infrastructure drift detection report,summarization,summarization,cost_anomalies,,,reporting
who composed the magic flute,out_of_scope,out_of_scope,message_queue,,,reject
summarize the security audit findings,summarization,summarization,network_policy,,,reporting
why is the dns resolution returning stale results,investigate,investigate,dns,,,diagnostic
run the cluster health verification script,execution,execution,kubernetes_cluster,,,action
rotate the ssl certificates on all endpoints,execution,execution,certificate,,,action
tell me about the sahara desert,out_of_scope,out_of_scope,message_queue,,,reject
summarize the test coverage and quality metrics,summarization,summarization,metrics,,,reporting
tell me about penguins,out_of_scope,out_of_scope,,,,reject
disable the noisy alerting rule temporarily,execution,execution,alerting,,,action
configure the nfs export options for the new client,execution,execution,message_queue,,,action
how do I make soap,out_of_scope,out_of_scope,,,,reject
how do I make natural dye,out_of_scope,out_of_scope,,,,reject
tell me about the gold rush,out_of_scope,out_of_scope,message_queue,,,reject
analyze the thread dump from app server,investigate,investigate,metrics_server,,,diagnostic
tell me about ancient rome,out_of_scope,out_of_scope,,,,reject
why is replication lagging,investigate,investigate,kubernetes_node,,,diagnostic
check what is causing the event loop blocking,investigate,investigate,health_check,,,diagnostic
enable http2 on the reverse proxy,execution,execution,reverse_proxy,,,action
provide a brief on the availability by region,summarization,summarization,availability_sla,,,reporting
investigate the segfault in the native module,investigate,investigate,message_queue,,,diagnostic
why are there checksum mismatches in the storage layer,investigate,investigate,storage,,,diagnostic
what is causing the write amplification on the database,investigate,investigate,database,,,diagnostic
what is the speed of a bullet,out_of_scope,out_of_scope,,,,reject
tell me about fashion,out_of_scope,out_of_scope,,,,reject
who is the president,out_of_scope,out_of_scope,,,,reject
investigate the network timeout between microservices,investigate,investigate,service,timeout,,diagnostic
provide a brief on the change management board decisions,summarization,summarization,dns,,,reporting
why is the service mesh reporting timeout for internal calls,investigate,investigate,service_mesh,timeout,,diagnostic
what is a haiku,out_of_scope,out_of_scope,kubernetes_node,,,reject
enable the preemptive cache warming job,execution,execution,cache,,,action
capture a packet trace on the pod interface,execution,execution,pod,,,action
what caused the data skew in the partitioned table,investigate,investigate,message_queue,,,diagnostic
investigate the mismatch between reported and actual cpu,investigate,investigate,message_queue,,,diagnostic
summarize queue depth,summarization,summarization,message_queue,,,reporting
summarize user impact,summarization,out_of_scope,,,,reject
what is causing the abnormal number of goroutines,investigate,out_of_scope,,,,reject
what is literature,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me an overview of the api usage patterns,summarization,summarization,api,,,reporting
tell me about butterflies,out_of_scope,out_of_scope,,,,reject
apply the datadog apm sampling configuration,execution,execution,message_queue,,,action
what caused the alert flood at midnight,investigate,investigate,alerting,,,diagnostic
what is an electron shell,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me an overview of the endpoint latency distribution,summarization,summarization,api,latency_high,,reporting
run the node affinity migration for gpu pods,execution,execution,kubernetes_node,,,action
tell me about the maya civilization,out_of_scope,out_of_scope,message_queue,,,reject
upgrade the control plane to the new version,execution,execution,message_queue,,,action
analyze the slow shutdown of the worker process,investigate,investigate,,slow,,diagnostic
provide a summary of the data replication lag trends,summarization,summarization,cost_trends,,,reporting
what is inflation,out_of_scope,out_of_scope,kubernetes_node,,,reject
tell me about the silk road trade route,out_of_scope,out_of_scope,message_queue,,,reject
who is charles darwin,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide a recap of the database migration results,summarization,summarization,database,,,reporting
why is the object storage throughput degraded,investigate,investigate,storage,degraded,,diagnostic
set up the vpn tunnel to the partner network,execution,out_of_scope,,,,reject
configure the log shipping to the siem,execution,execution,logs,,,action
analyze the inconsistency in the distributed counter,investigate,out_of_scope,,,,reject
how do I make sourdough bread,out_of_scope,out_of_scope,,,,reject
summarize the cluster health over the past 30 days,summarization,summarization,kubernetes_cluster,,past,reporting
reset network interface,execution,execution,network_policy,,,action
summarize the service level objective performance,summarization,summarization,service,,,reporting
deploy the new gateway api version,execution,execution,api,,,action
run the storage migration to the new array,execution,execution,storage,,,action
analyze the numa imbalance on the multi-socket server,investigate,out_of_scope,,,,reject
what is a wormhole,out_of_scope,out_of_scope,kubernetes_node,,,reject
tell me about the viking age,out_of_scope,out_of_scope,message_queue,,,reject
what is archaeology,out_of_scope,out_of_scope,logs,,,reject
give me a summary of the connection draining patterns,summarization,summarization,connection_pool,,,reporting
summarize deployment changes,summarization,summarization,deployment,,,reporting
apply security rules,execution,out_of_scope,,,,reject
give me event summary,summarization,out_of_scope,,,,reject
tell me about mount everest,out_of_scope,out_of_scope,,,,reject
analyze the slow query logs for the past hour,investigate,investigate,database,slow,past,diagnostic
why is the secret rotation breaking dependent services,investigate,investigate,service,,,diagnostic
what is the largest country by area,out_of_scope,out_of_scope,,,,reject
push the puppet manifest changes to production,execution,execution,message_queue,,,action
run the smoke test suite after the deployment,execution,execution,deployment,,,action
what is renewable energy,out_of_scope,out_of_scope,kubernetes_node,,,reject
who is claude monet,out_of_scope,out_of_scope,kubernetes_node,,,reject
enable the kernel huge pages for the database host,execution,execution,database,,,action
check why the alerting rule is not firing,investigate,investigate,alerting,,,diagnostic
check what triggered the node eviction,investigate,investigate,kubernetes_node,,,diagnostic
restart the elasticsearch cluster rolling,execution,execution,kubernetes_cluster,,,action
tell me about eagles,out_of_scope,out_of_scope,,,,reject
restart the gossip protocol seed nodes,execution,execution,kubernetes_node,,,action
why are the job workers being starved of resources,investigate,out_of_scope,,,,reject
provide a brief recap of the service ownership audit,summarization,summarization,service,,,reporting
give me a summary of the distributed tracing insights,summarization,summarization,distributed_tracing,,,reporting
who wrote war and peace,out_of_scope,out_of_scope,,,,reject
how do I write poetry,out_of_scope,out_of_scope,,,,reject
configure the cosign policy for image verification,execution,execution,container_image,,,action
what is the speed of sound,out_of_scope,out_of_scope,,,,reject
what is the law of thermodynamics,out_of_scope,out_of_scope,,,,reject
give me a summary of the api error taxonomy this sprint,summarization,summarization,api,error,,reporting
investigate the hot partition in the event stream,investigate,investigate,message_queue,,,diagnostic
who is edgar allan poe,out_of_scope,out_of_scope,kubernetes_node,,,reject
configure the session affinity timeout,execution,execution,message_queue,timeout,,action
how do I make a dreamcatcher,out_of_scope,out_of_scope,,,,reject
provide a recap of the endpoint coverage by synthetic monitors,summarization,summarization,api,,,reporting
tell me about the roman empire,out_of_scope,out_of_scope,message_queue,,,reject
tell me about the tang dynasty,out_of_scope,out_of_scope,message_queue,,,reject
investigate the request timeout during peak traffic,investigate,investigate,message_queue,timeout,,diagnostic
who is pablo picasso,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me an overview of the container runtime health,summarization,summarization,container_image,,,reporting
tell me about the byzantine empire,out_of_scope,out_of_scope,message_queue,,,reject
apply the cors policy update on the gateway,execution,out_of_scope,,,,reject
configure the pgbouncer pool size,execution,execution,connection_pool,,,action
tell me about thunderstorms,out_of_scope,out_of_scope,,,,reject
configure the topology spread constraints,execution,execution,logs,,,action
investigate the frequent oom kills in the sidecar,investigate,investigate,message_queue,,,diagnostic
how do tides work,out_of_scope,out_of_scope,,,,reject
configure the connection timeout to 30 seconds,execution,execution,connection_pool,timeout,,action
give me a summary of the compute reservation coverage,summarization,summarization,message_queue,,,reporting
who is wassily kandinsky,out_of_scope,out_of_scope,kubernetes_node,,,reject
what is the milky way galaxy,out_of_scope,out_of_scope,,,,reject
trigger the failback to the primary region,execution,execution,message_queue,failure,,action
update the helm chart values and upgrade release,execution,execution,release_notes,,,action
why are there duplicate messages in the event stream,investigate,investigate,message_queue,,,diagnostic
how do I speak italian,out_of_scope,out_of_scope,,,,reject
what is a chromosomal mutation,out_of_scope,out_of_scope,kubernetes_node,,,reject
summarize the uptime report for all critical services,summarization,summarization,service,,,reporting
tell me about the titanic,out_of_scope,out_of_scope,message_queue,,,reject
provide a recap of the patch compliance status,summarization,summarization,service,,,reporting
enable maintenance mode on the website,execution,execution,message_queue,,,action
switch the routing policy to latency-based,execution,execution,network_policy,latency_high,,action
give me a summary of the chaos experiment outcomes,summarization,summarization,message_queue,,,reporting
who is beethoven,out_of_scope,out_of_scope,kubernetes_node,,,reject
what caused the spike in garbage collection time,investigate,investigate,message_queue,spike,,diagnostic
approve the manual gate in the release pipeline,execution,execution,ci_cd_pipeline,,,action
give me an overview of the secret management compliance,summarization,summarization,message_queue,,,reporting
tell me about the great wall of china,out_of_scope,out_of_scope,message_queue,,,reject
scale down the stateful set to zero replicas,execution,execution,read_replicas,,,action
give me an overview of the fleet patching status,summarization,summarization,service,,,reporting
provide a summary of the ci cd pipeline performance,summarization,summarization,ci_cd_pipeline,,,reporting
what is the history of tea,out_of_scope,out_of_scope,,,,reject
summarize the sla compliance for the past month,summarization,summarization,availability_sla,,past_month,reporting
how do I meditate properly,out_of_scope,out_of_scope,,,,reject
summarize the write path latency breakdown by layer,summarization,summarization,,latency_high,,reporting
what is a light year,out_of_scope,out_of_scope,kubernetes_node,,,reject
how do I speak japanese,out_of_scope,out_of_scope,,,,reject
enable open file cache on the web server,execution,execution,cache,,,action
set up the service mesh mutual tls,execution,execution,service_mesh,,,action
what is astrophysics,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me a summary of the event-driven architecture reliability,summarization,summarization,message_queue,,,reporting
what is the greenhouse effect,out_of_scope,out_of_scope,,,,reject
enable the geo-restriction policy on the cdn,execution,out_of_scope,,,,reject
who invented the printing press,out_of_scope,out_of_scope,message_queue,,,reject
give me an overview of the application security posture,summarization,summarization,message_queue,,,reporting
evict stale entries from the distributed cache,execution,execution,cache,,,action
what is the pythagorean theorem,out_of_scope,out_of_scope,,,,reject
how do I play the violin,out_of_scope,out_of_scope,message_queue,,,reject
restart service mesh,execution,execution,service_mesh,,,action
what caused the rollback to fail midway,investigate,investigate,message_queue,failure,,diagnostic
sync the parameter store values to the pods,execution,execution,pod,,,action
how do I do yoga,out_of_scope,out_of_scope,,,,reject
check why the batch processing job is stuck,investigate,investigate,batch_job,,,diagnostic
tell me about the polynesian navigation,out_of_scope,out_of_scope,message_queue,,,reject
what is the longest river,out_of_scope,out_of_scope,,,,reject
provide a brief on the endpoint deprecation usage,summarization,summarization,api,,,reporting
flush all active user sessions from the cache,execution,execution,cache,,,action
summarize the service mesh traffic routing changes,summarization,summarization,service_mesh,,,reporting
why is the bloom filter returning false positives,investigate,out_of_scope,,,,reject
