utterance,intent,entity_type,domain_valid
how do I play guitar,out_of_scope,unknown,False
what is causing the repeated auth failures,investigate,infrastructure,True
apply the security hotfix to the dependency,execution,service,True
analyze the slow query logs for the past hour,investigate,infrastructure,True
run the ansible playbook for the new server setup,execution,unknown,False
summarize the etl job success and failure rates,summarization,unknown,True
investigate the cpu steal time on virtual machines,investigate,service,True
run the game day scenario for database failover,execution,infrastructure,True
run the health check script on all instances,execution,metric,True
how does sonar work,out_of_scope,unknown,False
apply the signed commit requirement on main branch,execution,service,True
restart session manager,execution,infrastructure,True
kill the hanging process,execution,service,True
summarize the cost per service unit this quarter,summarization,service,True
summarize the mean time between failures report,summarization,infrastructure,True
enable debug logging,execution,metric,True
provide weekly report summary,summarization,unknown,False
give me an overview of the security scanning results,summarization,service,True
how do I make soy candles,out_of_scope,unknown,False
update the kerberos keytab on the server,execution,unknown,False
give me an overview of the request success rate by service,summarization,service,True
add the spf record for the new mail relay,execution,service,True
how do I make turkish coffee,out_of_scope,unknown,False
apply the terraform plan for infrastructure changes,execution,metric,True
analyze why the canary deployment is showing errors,investigate,pipeline,True
how do I take better photos,out_of_scope,unknown,False
provide a recap of the cloud provider incident impact,summarization,incident,True
give me a summary of the observability coverage,summarization,metric,True
what is philosophy,out_of_scope,unknown,False
summarize the system hardening checklist compliance,summarization,service,True
investigate the spurious wakeups in the thread pool,investigate,unknown,False
configure the async io thread pool size,execution,infrastructure,True
summarize the incident postmortem action items,summarization,incident,True
enable open file cache on the web server,execution,infrastructure,True
who composed moonlight sonata,out_of_scope,unknown,False
patch the third-party library to the safe version,execution,service,True
give me a summary of the request routing efficiency,summarization,service,True
tell me about the boer war,out_of_scope,unknown,False
analyze the rollout pause caused by failed canary metrics,investigate,metric,True
what is causing the api to return incomplete data,investigate,service,True
what caused the service failure,investigate,service,True
what is the milky way galaxy,out_of_scope,unknown,False
what is the tallest building in the world,out_of_scope,unknown,False
check the reason for the network interface flapping,investigate,unknown,False
why did the database go down,investigate,infrastructure,True
tell me about the stone age,out_of_scope,unknown,False
how do I fix a leaky faucet,out_of_scope,unknown,False
deploy the database proxy layer,execution,infrastructure,True
enable gzip compression on the web server,execution,infrastructure,True
enable write-ahead logging on the database,execution,infrastructure,True
tell me about the silk road,out_of_scope,unknown,False
check what is causing the http keep-alive to be disabled,investigate,metric,True
apply the storage class changes for the volumes,execution,infrastructure,True
enable the request coalescing on the cache layer,execution,infrastructure,True
what is causing the flapping network route,investigate,infrastructure,True
who wrote a midsummer night dream,out_of_scope,unknown,False
summarize the api response times over the past month,summarization,service,True
what is a meteor shower,out_of_scope,unknown,False
provide a brief on the service catalog update status,summarization,service,True
what is the distance to the moon,out_of_scope,unknown,False
restart the gossip protocol seed nodes,execution,infrastructure,True
configure the jaeger sampling rate,execution,infrastructure,True
why is the query result cache warming too slowly,investigate,infrastructure,True
give me a summary of the connection draining patterns,summarization,infrastructure,True
give me an overview of the kafka consumer lag trends,summarization,service,True
show me errors from the last deployment,investigate,pipeline,True
summarize the dependency version drift across microservices,summarization,service,True
what is meteorology,out_of_scope,unknown,False
investigate the webhook delivery failures,investigate,infrastructure,True
provide a brief on the certificate rotation status,summarization,infrastructure,True
restart the elasticsearch cluster rolling,execution,infrastructure,True
tell me about the ancient roman baths,out_of_scope,unknown,False
investigate the spike in 5xx errors after the release,investigate,unknown,True
who invented the printing press,out_of_scope,unknown,False
delete the unused container images on all nodes,execution,infrastructure,True
configure the destination rule circuit breaker,execution,infrastructure,True
provide a brief on the key metrics from last night,summarization,metric,True
what is causing the abnormal number of goroutines,investigate,unknown,False
analyze the slow startup time of the service,investigate,service,True
how do I make kimchi,out_of_scope,unknown,False
why is the worker thread unresponsive,investigate,unknown,False
how do I learn card magic,out_of_scope,unknown,False
give me an overview of the external dependency health,summarization,service,True
tell me about books,out_of_scope,unknown,False
tell me about the solar system,out_of_scope,unknown,False
reindex the elasticsearch data to the new mapping,execution,service,True
how do I fly a kite,out_of_scope,unknown,False
can you sing a song,out_of_scope,unknown,False
give me a summary of the storage utilization trends,summarization,infrastructure,True
give me an overview of the deployment pipeline health,summarization,pipeline,True
investigate the race condition in the job scheduler,investigate,service,True
check why the health endpoint is returning stale data,investigate,metric,True
run the kube-bench cis benchmark scan,execution,service,True
what is the law of thermodynamics,out_of_scope,unknown,False
investigate the replication stream lag on postgres,investigate,service,True
summarize the horizontal autoscaler trigger patterns,summarization,infrastructure,True
clear cache on all nodes,execution,infrastructure,True
summarize the third party integration health,summarization,service,True
what is causing the excessive memory paging,investigate,unknown,False
rotate the api keys for third party integrations,execution,service,True
restore the etcd snapshot from the backup,execution,infrastructure,True
vacuum database,execution,infrastructure,True
summarize the on-call handoff notes,summarization,pipeline,True
provide a brief on the database query cost distribution,summarization,infrastructure,True
give me a summary of the infrastructure drift detected,summarization,metric,True
what is causing the repeated connection draining on alb,investigate,infrastructure,True
give me a summary of the top services by error volume,summarization,service,True
provide a recap of the compliance violation findings,summarization,service,True
why is the redis cluster showing high fragmentation,investigate,infrastructure,True
investigate the flapping health checks,investigate,metric,True
update the rbac role bindings for the new team,execution,service,True
what is the national animal of australia,out_of_scope,unknown,False
tell me about the tang dynasty,out_of_scope,unknown,False
apply the waf rule to block the new attack pattern,execution,unknown,False
configure the log retention policy to 90 days,execution,metric,True
update the opensearch index template,execution,service,True
how do birds navigate during migration,out_of_scope,unknown,False
who wrote pride and prejudice,out_of_scope,unknown,False
update the health check thresholds on the target group,execution,metric,True
summarize the health of the multi-region setup,summarization,service,True
what is the history of tea,out_of_scope,unknown,False
provide a brief on the database performance this month,summarization,infrastructure,True
what is a gene,out_of_scope,unknown,False
provide a recap of the database deadlock frequency,summarization,infrastructure,True
what is a red giant star,out_of_scope,unknown,False
run the smoke test suite after the deployment,execution,pipeline,True
why is throughput degraded,investigate,infrastructure,True
what is archaeology,out_of_scope,unknown,False
look into the memory allocation failure in container,investigate,pipeline,True
enable the secrets manager rotation schedule,execution,infrastructure,True
summarize the container orchestration metrics,summarization,metric,True
provide a recap of the resolved alerts from overnight,summarization,metric,True
test the service-to-service communication path,execution,service,True
prune the docker volumes on the build agent,execution,service,True
what is causing the service to consume 100 percent cpu,investigate,service,True
what is a chromosomal mutation,out_of_scope,unknown,False
analyze the tombstone accumulation in the database,investigate,infrastructure,True
summarize the memory leak patterns across services,summarization,service,True
tell me about travel,out_of_scope,unknown,False
apply the coredns custom forwarding rule,execution,infrastructure,True
why is the container runtime consuming so much memory,investigate,pipeline,True
who wrote gulliver travels,out_of_scope,unknown,False
how do I learn to identify birds,out_of_scope,unknown,False
scale down the stateful set to zero replicas,execution,infrastructure,True
provide a brief on the change success rate this cycle,summarization,infrastructure,True
investigate the failure in the distributed snapshot,investigate,infrastructure,True
apply the egress network policy,execution,infrastructure,True
summarize the storage tier migration progress,summarization,infrastructure,True
run the chaos engineering test on staging,execution,job,True
what is cellular respiration,out_of_scope,unknown,False
what is causing the high p99 latency,investigate,unknown,True
tell me about sports,out_of_scope,unknown,False
configure the alertmanager routing rules,execution,service,True
who is frida kahlo,out_of_scope,unknown,False
why is the circuit breaker in open state,investigate,infrastructure,True
summarize the release impact on key user flows,summarization,metric,True
run the dependency update bot on the repository,execution,service,True
who is winston churchill,out_of_scope,unknown,False
how do I learn to draw,out_of_scope,unknown,False
who composed the four seasons,out_of_scope,unknown,False
why is the load balancer session persistence broken,investigate,infrastructure,True
check why the message acknowledgment is not being sent,investigate,service,True
who wrote moby dick,out_of_scope,unknown,False
why are there checksum mismatches in the storage layer,investigate,infrastructure,True
summarize the service level objective performance,summarization,service,True
check if the api latency is correlated to gc pauses,investigate,service,True
terminate a random pod to test resilience,execution,infrastructure,True
give me an overview of the active feature rollouts,summarization,service,True
enable request tracing across all services,execution,service,True
analyze the inconsistency in the distributed counter,investigate,unknown,False
why is the persistent connection being dropped,investigate,infrastructure,True
why is the garbage collector pausing for 500ms,investigate,unknown,False
tell me about the golden age of islam,out_of_scope,unknown,False
what are the best hiking trails in europe,out_of_scope,unknown,False
why is the connection draining taking too long,investigate,infrastructure,True
what caused the breach of the sla threshold,investigate,metric,True
apply the cpu and memory limits to all pods,execution,infrastructure,True
tell me about the french revolution,out_of_scope,unknown,False
what is a haiku,out_of_scope,unknown,False
summarize the transaction rollback rate by service,summarization,service,True
what is the deepest lake in the world,out_of_scope,unknown,False
how do I make cheese at home,out_of_scope,unknown,False
rebalance the kafka topic partitions,execution,service,True
investigate the shard imbalance in the search cluster,investigate,infrastructure,True
how do I brew kombucha,out_of_scope,unknown,False
hello how are you,out_of_scope,unknown,False
taint the node to prevent general scheduling,execution,infrastructure,True
give me a summary of the cost allocation by team,summarization,metric,True
provide a brief on the data retention compliance status,summarization,service,True
what is a black hole,out_of_scope,unknown,False
investigate the stalled compaction job on rocksdb,investigate,infrastructure,True
apply network policy,execution,infrastructure,True
what is magnetism,out_of_scope,unknown,False
why is the cgroup memory limit being exceeded,investigate,service,True
what is dark matter,out_of_scope,unknown,False
how do I bake a cake,out_of_scope,unknown,False
run the tls delegation certificate signing request,execution,infrastructure,True
investigate the token validation failures on the api,investigate,service,True
configure the topology spread constraints,execution,metric,True
summarize the thread pool utilization trends this week,summarization,infrastructure,True
enable persistent connections on the proxy,execution,infrastructure,True
how do I meditate,out_of_scope,unknown,False
summarize alert trends,summarization,metric,True
add the new disk to the lvm volume group,execution,metric,True
who is the author of harry potter,out_of_scope,unknown,False
look into the systemd service restart loop,investigate,service,True
configure the vault policy for the new service,execution,service,True
tell me about whales,out_of_scope,unknown,False
why is there no response from the upstream service,investigate,service,True
summarize the inter-service call failure rates,summarization,service,True
configure the webhook timeout for the admission controller,execution,service,True
why is replication lagging,investigate,infrastructure,True
repair the xfs filesystem after unclean shutdown,execution,service,True
how do I make pizza dough,out_of_scope,unknown,False
what is antimatter,out_of_scope,unknown,False
who composed the nutcracker,out_of_scope,unknown,False
why is cpu throttling happening,investigate,infrastructure,True
resize the persistent volume to 500gb,execution,infrastructure,True
force delete the stuck pod in the production namespace,execution,infrastructure,True
delete the datadog monitors that are no longer valid,execution,service,True
summarize the security audit findings,summarization,infrastructure,True
who is shakespeare,out_of_scope,unknown,False
provide a brief on the message delivery success rate,summarization,service,True
how do I learn to swim,out_of_scope,unknown,False
why is the log shipper dropping records,investigate,metric,True
give me a summary of the api error taxonomy this sprint,summarization,service,True
give me an overview of the observability stack capacity,summarization,metric,True
give me a summary of the disk growth trends by volume,summarization,metric,True
tell me about the crusades,out_of_scope,unknown,False
how do I build a birdfeeder,out_of_scope,unknown,False
summarize the service deprecation and migration status,summarization,service,True
what is a nebula,out_of_scope,unknown,False
investigate the memory pressure alerts on worker nodes,investigate,infrastructure,True
check what is causing the increased tail latency,investigate,metric,True
give me a recap of the storage utilization trends,summarization,infrastructure,True
analyze the numa imbalance on the multi-socket server,investigate,unknown,False
what caused the index corruption on elasticsearch,investigate,service,True
summarize the recent alerts and their resolution status,summarization,metric,True
summarize the edge cache performance by region,summarization,infrastructure,True
what is a magnetar,out_of_scope,unknown,False
deploy the sidecar proxy to all pods,execution,infrastructure,True
tell me about the life cycle of a butterfly,out_of_scope,unknown,False
investigate the disk write latency on ssd array,investigate,metric,True
what is a sonnet,out_of_scope,unknown,False
why is the dns lookup causing increased latency,investigate,infrastructure,True
investigate the delayed metric reporting from agent,investigate,unknown,False
tell me about furniture,out_of_scope,unknown,False
create a configmap from the updated settings file,execution,service,True
what is radioactivity,out_of_scope,unknown,False
apply security patch on db-server-7,execution,infrastructure,True
give me an overview of the error budget consumption,summarization,metric,True
investigate the sudden increase in 5xx errors,investigate,service,True
give me a summary of the automated remediation coverage,summarization,service,True
investigate the network partition between zones,investigate,infrastructure,True
check what is causing the container image pull failure,investigate,pipeline,True
tell me about astronomy,out_of_scope,unknown,False
give me an overview of the service dependency mapping,summarization,service,True
what is a comet,out_of_scope,unknown,False
how do I ferment vegetables,out_of_scope,unknown,False
configure the metrics server resource requests,execution,infrastructure,True
close the inactive elasticsearch indices,execution,service,True
what caused the rollback to fail midway,investigate,service,True
tell me about the renaissance,out_of_scope,unknown,False
how do I roller skate,out_of_scope,unknown,False
bounce the application pool in iis,execution,infrastructure,True
configure the md raid rebuild priority,execution,service,True
what is causing the database connection timeout,investigate,infrastructure,True
apply the log parsing rule update to the pipeline,execution,pipeline,True
how do I build a go-kart,out_of_scope,unknown,False
trigger the ci cd pipeline for the release branch,execution,pipeline,True
what is machine learning,out_of_scope,unknown,False
who is albert einstein,out_of_scope,unknown,False
what is existentialism,out_of_scope,unknown,False
investigate the TLS handshake failures,investigate,infrastructure,True
provide a recap of the service-level objectives this period,summarization,service,True
why is the etcd cluster showing leader election issues,investigate,infrastructure,True
analyze the segment fault in the native library,investigate,service,True
why is the background sync job being preempted,investigate,service,True
enable the dast scan in the staging pipeline,execution,pipeline,True
provide a recap of the slow transaction breakdown,summarization,service,True
investigate the frequent oom kills in the sidecar,investigate,service,True
check the connection refused errors on port 5432,investigate,infrastructure,True
how do I make mead,out_of_scope,unknown,False
what is mitosis,out_of_scope,unknown,False
investigate what is causing the memory balloon in vm,investigate,unknown,False
run the memory bandwidth benchmark on the server,execution,unknown,False
run the trivy vulnerability scan on the image,execution,unknown,False
scale message queue,execution,service,True
export and import the zfs pool after migration,execution,infrastructure,True
summarize what actions were taken,summarization,unknown,False
tell me about the han dynasty,out_of_scope,unknown,False
analyze the correlation between load and response times,investigate,incident,True
update the firewall rules to allow port 8443,execution,service,True
umount the nfs share that is hanging,execution,unknown,False
provide a brief on the kafka topic partition distribution,summarization,service,True
restart the kafka broker on node-3,execution,infrastructure,True
what is literature,out_of_scope,unknown,False
investigate error rate spike in production,investigate,metric,True
force the kustomize overlay apply,execution,service,True
summarize the service mesh telemetry for the past week,summarization,infrastructure,True
configure the remote backend for terraform,execution,service,True
why is the build pipeline timing out,investigate,pipeline,True
give me cost summary,summarization,metric,True
investigate deadlock in database,investigate,infrastructure,True
provide a summary of the connection pool utilization,summarization,infrastructure,True
why is the service mesh sidecar consuming too much cpu,investigate,infrastructure,True
provide a recap of the compliance checks this quarter,summarization,metric,True
provide a brief on the kubernetes cluster utilization,summarization,infrastructure,True
provide a recap of the infrastructure cost anomalies,summarization,metric,True
investigate the spike in mutex contention metrics,investigate,metric,True
give me a summary of the event-driven architecture reliability,summarization,service,True
how do I make a quilt,out_of_scope,unknown,False
check what is causing the recurring storage disconnection,investigate,infrastructure,True
provide a brief on the database connection pool stats,summarization,infrastructure,True
give me an overview of the endpoint latency distribution,summarization,service,True
give me a summary of the infrastructure scaling events,summarization,metric,True
who is thomas edison,out_of_scope,unknown,False
give me an overview of the pod scheduling efficiency,summarization,infrastructure,True
summarize cluster health,summarization,infrastructure,True
run the compliance scan on all servers,execution,service,True
how do I make risotto,out_of_scope,unknown,False
reconfigure the reverse proxy routing rules,execution,infrastructure,True
look into the http connection pool timeout,investigate,infrastructure,True
provide a recap of the capacity forecast model output,summarization,job,True
summarize the api gateway performance for the past sprint,summarization,infrastructure,True
run the network policy connectivity test,execution,infrastructure,True
apply the service mesh traffic policy,execution,infrastructure,True
summarize the access control audit results,summarization,infrastructure,True
what is blockchain,out_of_scope,unknown,False
configure the log shipping to the siem,execution,metric,True
how do I play poker,out_of_scope,unknown,False
reset network interface,execution,infrastructure,True
how do I skateboard,out_of_scope,unknown,False
enable the continuous profiling on the service,execution,service,True
enable the maintenance mode on the microservice,execution,service,True
provide performance summary,summarization,job,True
flush the iptables nat rules,execution,service,True
drain connections gracefully,execution,unknown,False
what is the theory of relativity,out_of_scope,unknown,False
how do I make homemade bread,out_of_scope,unknown,False
who invented the telephone,out_of_scope,unknown,False
run the automated rollback on failed deployment,execution,pipeline,True
check why jobs are failing silently in the queue,investigate,service,True
what is causing the jitter in the rpc response times,investigate,unknown,True
what caused the database query plan regression,investigate,infrastructure,True
what is genetics,out_of_scope,unknown,False
summarize the sla compliance for the past month,summarization,metric,True
provide a recap of the release frequency this quarter,summarization,pipeline,True
provide a recap of the change management decisions,summarization,infrastructure,True
how do I knit a sweater,out_of_scope,unknown,False
update the ip allowlist on the security group,execution,unknown,False
apply the virtual service retry policy,execution,service,True
who won the world cup,out_of_scope,unknown,False
investigate the tcp syn flood on the public interface,investigate,service,True
enable the branch protection rule on the repo,execution,unknown,False
apply the salt state to the target nodes,execution,infrastructure,True
rotate the ssh host keys on the new server,execution,unknown,False
give me a summary of the network policy audit findings,summarization,infrastructure,True
apply the selinux policy update,execution,infrastructure,True
what is the ozone layer,out_of_scope,unknown,False
what time is it,out_of_scope,unknown,False
what is a catalyst,out_of_scope,unknown,False
what is the history of coffee,out_of_scope,unknown,False
summarize the deployment frequency by team,summarization,pipeline,True
how do I make a dreamcatcher,out_of_scope,unknown,False
what triggered the alert,investigate,metric,True
what caused memory leak in app,investigate,unknown,True
force a manual dns propagation check,execution,infrastructure,True
investigate the request being routed to a terminating pod,investigate,infrastructure,True
apply configuration changes,execution,unknown,False
reset the admin password on the management console,execution,service,True
how do I play the violin,out_of_scope,unknown,False
tell me about the persian empire,out_of_scope,unknown,False
configure the container registry garbage collection,execution,pipeline,True
block the suspicious ip range at the firewall,execution,service,True
provide a recap of the release deployment lead time,summarization,pipeline,True
give me compliance summary,summarization,unknown,False
what is paleontology,out_of_scope,unknown,False
redeploy the microservice with the fix,execution,service,True
configure the jenkins pipeline webhook trigger,execution,pipeline,True
analyze what changed before the performance degraded,investigate,unknown,True
check why the liveness probe keeps failing,investigate,metric,True
what is inflation,out_of_scope,unknown,False
summarize the number of open vulnerabilities by severity,summarization,unknown,False
investigate the grpc deadline exceeded errors,investigate,service,True
configure the tcp keepalive settings on the host,execution,service,True
summarize the cluster health over the past 30 days,summarization,infrastructure,True
investigate the namespace collision in kubernetes,investigate,infrastructure,True
summarize the change-failure rate for the current quarter,summarization,unknown,True
restart the load balancer,execution,infrastructure,True
apply the pod security policy changes,execution,infrastructure,True
why is the health status endpoint returning wrong version,investigate,service,True
tell me about the renaissance art,out_of_scope,unknown,False
why is the distributed transaction not committing,investigate,metric,True
why is the consumer group rebalancing frequently,investigate,service,True
force garbage collection,execution,unknown,False
restart container,execution,pipeline,True
investigate the 502 bad gateway errors on frontend,investigate,infrastructure,True
provide a recap of the operational load by team this month,summarization,job,True
provide an overview of the mean time to recovery metrics,summarization,metric,True
why is the api gateway returning 503,investigate,infrastructure,True
give me a high-level overview of what happened today,summarization,unknown,False
what is astrophysics,out_of_scope,unknown,False
summarize the service dependency changes this sprint,summarization,service,True
tell me about the great wall of china,out_of_scope,unknown,False
give me an overview of the read write ratio by service,summarization,service,True
trigger the argocd sync for the production environment,execution,unknown,False
flush the redis cache completely,execution,infrastructure,True
what is pharmacology,out_of_scope,unknown,False
create the ingress rule for the new subdomain,execution,unknown,False
analyze the impact of schema change on query performance,investigate,infrastructure,True
annotate the service with the canary weight,execution,service,True
why is the bloom filter returning false positives,investigate,unknown,False
why are there too many open file descriptors,investigate,unknown,False
tell me about the viking age,out_of_scope,unknown,False
why is the dns resolution returning stale results,investigate,infrastructure,True
enable the sticky session on the load balancer,execution,infrastructure,True
who is socrates,out_of_scope,unknown,False
give me a summary of the compute reservation coverage,summarization,service,True
how do I dance,out_of_scope,unknown,False
give me a summary of the latency percentile trends,summarization,metric,True
configure the pgbouncer pool size,execution,infrastructure,True
investigate the file descriptor leak,investigate,service,True
scale job scheduler,execution,job,True
tell me about the age of exploration,out_of_scope,unknown,False
analyze the traffic shaping rule mismatch,investigate,service,True
configure the adaptive concurrency limit,execution,service,True
who is dante alighieri,out_of_scope,unknown,False
check why the alerting rule is not firing,investigate,metric,True
investigate the repeated pod scheduling failures,investigate,infrastructure,True
give me an overview of the alerting rule changes,summarization,metric,True
give me an overview of the system resource allocation,summarization,infrastructure,True
analyze the heap dump for memory leak,investigate,service,True
investigate the http pipelining issue on the proxy,investigate,infrastructure,True
analyze the io error rate on the san,investigate,unknown,True
apply the cpu frequency scaling governor change,execution,infrastructure,True
enable the connection rate limiting on haproxy,execution,infrastructure,True
provide maintenance summary,summarization,unknown,False
investigate the hot partition in the event stream,investigate,service,True
give me an overview of the error distribution across services,summarization,service,True
analyze the traces for the slow checkout flow,investigate,unknown,True
clean up the stale branches from the remote,execution,service,True
tell me about the great depression,out_of_scope,unknown,False
what is causing the frequent index rebuilds,investigate,unknown,False
how do I draw,out_of_scope,unknown,False
summarize capacity report,summarization,unknown,False
what is quantum entanglement,out_of_scope,unknown,False
analyze the cpu soft irq time spikes,investigate,service,True
why is the ingress controller rejecting requests,investigate,unknown,False
analyze the latency spikes during peak hours,investigate,service,True
configure the database read timeout to 10 seconds,execution,infrastructure,True
tell me about the sahara desert,out_of_scope,unknown,False
provide a recap of the tracing coverage expansion,summarization,metric,True
enable the kubernetes event exporter,execution,infrastructure,True
why did the kubernetes job fail,investigate,infrastructure,True
how do I build a small pond,out_of_scope,unknown,False
summarize the release rollback frequency and causes,summarization,pipeline,True
silence the alert during the planned maintenance,execution,unknown,False
summarize the access request audit for the past month,summarization,unknown,False
check why the replica is not accepting writes,investigate,infrastructure,True
what is causing the write amplification on the database,investigate,infrastructure,True
check why the kubernetes node is not ready,investigate,infrastructure,True
give me a summary of failed jobs in the last 24 hours,summarization,job,True
tell me about the silk road trade route,out_of_scope,unknown,False
why is service discovery returning stale endpoints,investigate,service,True
investigate the unexpected data loss after failover,investigate,service,True
who is confucius,out_of_scope,unknown,False
decommission the old server from the cluster,execution,infrastructure,True
why is the secret rotation breaking dependent services,investigate,service,True
give me a summary of the tenant sla compliance status,summarization,metric,True
tell me about art,out_of_scope,unknown,False
investigate the cpu steal time on the vm host,investigate,service,True
investigate the unexpected pod termination,investigate,infrastructure,True
provide availability summary,summarization,metric,True
what is causing service degradation,investigate,service,True
simulate a node failure in staging,execution,infrastructure,True
enable the opa policy enforcement,execution,infrastructure,True
configure the circuit breaker thresholds,execution,infrastructure,True
tell me about the golden gate bridge,out_of_scope,unknown,False
what is the stock market,out_of_scope,unknown,False
start backup job,execution,infrastructure,True
summarize the on-call activity for the past month,summarization,service,True
why are database transactions taking so long,investigate,infrastructure,True
provide a recap of the cost optimization initiatives,summarization,metric,True
how do I play chess,out_of_scope,unknown,False
investigate high error rate,investigate,metric,True
update the load balancer target group with new instances,execution,infrastructure,True
deploy the latest build to staging,execution,service,True
enable the vpa recommendation mode on the namespace,execution,infrastructure,True
add the new host to the monitoring system,execution,service,True
what is painting,out_of_scope,unknown,False
why is the read cache not warming up as expected,investigate,infrastructure,True
who invented the internet,out_of_scope,unknown,False
tell me about the great barrier reef,out_of_scope,unknown,False
give me an overview of the data consistency check results,summarization,metric,True
tell me about the amazon river,out_of_scope,unknown,False
run the certificate expiry check across all services,execution,infrastructure,True
what is the uncertainty principle,out_of_scope,unknown,False
investigate the segfault in the native module,investigate,service,True
why does the query return inconsistent results,investigate,infrastructure,True
investigate the repeated auth token expiry in logs,investigate,metric,True
provide a recap of the multi-tenancy isolation audit,summarization,infrastructure,True
give me a summary of the platform capacity model output,summarization,incident,True
tell me about butterflies,out_of_scope,unknown,False
analyze the ingress rule causing traffic leak,investigate,metric,True
how do I grow tomatoes at home,out_of_scope,unknown,False
who was the first person to climb everest,out_of_scope,unknown,False
provide a recap of the server provisioning activities,summarization,infrastructure,True
provide a brief on the security incident response timeline,summarization,incident,True
investigate the slow recovery after leader failover,investigate,service,True
how do I do push ups,out_of_scope,unknown,False
apply the seccomp profile to the container,execution,unknown,False
configure the session affinity timeout,execution,service,True
summarize user impact,summarization,unknown,False
why is the api response size unexpectedly large,investigate,service,True
how do I learn morse code,out_of_scope,unknown,False
enable the volume snapshot class for backup,execution,infrastructure,True
summarize the vulnerability scan findings,summarization,service,True
what is causing the jdbc connection pool saturation,investigate,infrastructure,True
give me a summary of the patch management status,summarization,service,True
enable the geo-restriction policy on the cdn,execution,unknown,False
analyze the log rotation failure on app-server-12,investigate,metric,True
how do I make hard candy,out_of_scope,unknown,False
how do I carve soap,out_of_scope,unknown,False
why is the WAL replay taking hours on postgres,investigate,unknown,False
run the dependency vulnerability scan,execution,service,True
why did health check fail,investigate,metric,True
analyze network latency issues,investigate,infrastructure,True
investigate the high iowait on storage server,investigate,infrastructure,True
summarize the message queue throughput metrics,summarization,service,True
remove the decommissioned server from the inventory,execution,unknown,False
provide a brief on the backup restore test outcomes,summarization,infrastructure,True
