utterance,intent,entity_type,domain_valid,source,is_infrastructure,is_service,is_metric,is_incident,is_job,is_pipeline,is_unknown,is_sre_domain,has_runbook,is_known_incident,is_metric_query
provide a brief on the key metrics from last night,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
why does the pod take too long to enter running state,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
why is the redis cluster showing high fragmentation,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
what is meteorology,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate high error rate,investigate,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,1
summarize the cost optimization actions taken this month,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,1
summarize the etl job success and failure rates,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,1,0,1,0
how do I make ramen from scratch,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
run the health check script on all instances,execution,metric,1,level5_base,0,0,1,0,0,0,0,1,1,0,0
tell me about the spanish armada,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize what actions were taken,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a brief on the long-running query trends,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
give me a summary of the latency percentile trends,summarization,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,1
what is relativity theory,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a recap of the automated remediation actions,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
give me a recap of the key findings from the postmortem review,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,1,0
how do I surf,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me a summary of the api consumer adoption trends,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
update the known hosts file after host migration,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
apply the io scheduler change to deadline,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
summarize the ssl certificate expiry status across services,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
analyze the latency introduced by the proxy sidecar,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,1
how is the weather today,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
configure the container registry garbage collection,execution,pipeline,1,level5_base,0,0,0,0,0,1,0,0,1,0,0
how do I tie a tie,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the user impact analysis from the last incident,summarization,incident,1,level5_base,0,0,0,1,0,0,0,1,0,1,0
what is causing the excessive memory paging,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,1,0,0,1
check why the ephemeral storage is filling up quickly,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
check what caused the crash,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,1,0
provide a recap of the cross-service dependency changes,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
give me a summary of the top database tables by row count,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
why is the snapshot restore taking longer than expected,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
what is causing the repeated auth failures,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
what is the stock market,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a brief on the ratio of planned versus unplanned work,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
check why the api gateway is caching stale tokens,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
tell me about music,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is a catalyst,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the release impact on key user flows,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,1,0
tell me about architecture,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is the speed of light,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is a gene,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
restart container,execution,pipeline,1,level5_base,0,0,0,0,0,1,0,0,1,0,0
give me a summary of alerts for last week,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
investigate why websocket connections are dropping,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
set the socket receive buffer size for throughput,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,1
investigate the intermittent connection resets,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
what is causing the service to consume 100 percent cpu,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
give me an overview of the tenant usage statistics,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,1
investigate the async callback queue overflow,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
summarize the system hardening checklist compliance,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
how do I train a dog basic commands,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize what alerts fired during the incident window,summarization,metric,1,level5_base,0,0,1,0,0,0,0,1,0,1,0
why is the compaction process stalling on cassandra,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the third party integration health,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
run the chaos engineering test on staging,execution,job,1,level5_base,0,0,0,0,1,0,0,0,1,0,0
what is anthropology,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize incident timeline,summarization,incident,1,level5_base,0,0,0,1,0,0,0,1,0,1,0
what is a supernova,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
update the kerberos keytab on the server,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me an overview of the external dependency health,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
why is the etcd cluster showing leader election issues,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize the api gateway performance for the past sprint,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
what is the greenhouse gas,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me a brief on the vendor incident reports,summarization,incident,1,level5_base,0,0,0,1,0,0,0,1,0,1,0
how do I play tennis,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
apply the resource quota to the namespace,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
who discovered electricity,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me a brief on the service health dashboard metrics,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
provide a brief on the rollback rate trends,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
how do I make miso paste,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
run the trivy vulnerability scan on the image,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,1,0,0
cordon the node before maintenance,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
why is the background sync job being preempted,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
apply the coredns custom forwarding rule,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
summarize the compliance remediation progress,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
enable cross-origin resource sharing headers,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
summarize capacity report,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is the reverse proxy adding unexpected headers,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
check what is causing the cache stampede,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
enable the web application firewall rules,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
analyze the kernel scheduler latency spikes,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
give me an overview of the capacity headroom by service,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
who is galileo,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I tie dye a shirt,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a brief on the retry rate trends,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
provide a brief on the system vulnerability exposure index,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
start the disaster recovery failover procedure,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
how do I whistle,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I skip stones,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the multi-region deployment status,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
enable the vpa recommendation mode on the namespace,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
run the tls delegation certificate signing request,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
tell me about the maya calendar,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is magnetism,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is nanotechnology,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the cache warmup causing latency at startup,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,1
investigate the http pipelining issue on the proxy,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
investigate the namespace collision in kubernetes,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize the data pipeline execution summary,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
how do I learn how to play harmonica,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is the health status endpoint returning wrong version,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
investigate the data corruption in table orders,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
check why the circuit breaker keeps tripping,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
why are write locks being held for too long,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
what is a black dwarf star,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
reset application state,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me a brief on the auto-scaling behavior this week,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
give me an overview of the kafka consumer lag trends,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
prune the docker volumes on the build agent,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
configure the retry policy with exponential backoff,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
tell me about the sumerian civilization,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is the ssl certificate expired on prod,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
who is aristotle and his philosophy,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
look into the certificate chain validation error,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
check what is causing the spike in error rate,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,1,0,1,1
provide cache hit summary,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
force garbage collection,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
redeploy the microservice with the fix,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
how do I start a garden,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a recap of the data pipeline job outcomes,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
why is the dns ttl causing stale lookups,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
rebalance the kafka topic partitions,execution,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
what is causing the node disk pressure warning,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
scale job scheduler,execution,job,1,level5_base,0,0,0,0,1,0,0,1,1,0,0
why is the batch job consuming all available memory,investigate,job,1,level5_base,0,0,0,0,1,0,0,1,0,0,1
what time is it,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I clean a cast iron pan,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I make a quilt,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I make pesto from scratch,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
who is florence nightingale,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I learn to surf beginner tips,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me an overview of the platform reliability metrics,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
enable the transparent hugepages for the database,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
provide a brief on the jvm memory pool utilization,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,1
scale the worker pool to 20 instances,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
provide a summary of the dns query patterns,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
examine the kernel panic logs on host-42,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
migrate the database schema to version 3.2,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
give me a summary of the top recurring failure modes,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,1,0
check the semaphore deadlock in the process pool,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
update the opensearch index template,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
why are retries increasing the backend load,investigate,job,1,level5_base,0,0,0,0,1,0,0,0,0,0,0
analyze the cause of the high cardinality in logs,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
who is frida kahlo,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
enable the numa-aware memory allocation,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,1
what is climate change,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is the distributed transaction not committing,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
tell me about the golden age of islam,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
switch traffic to the blue deployment,execution,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
what is a solar system,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me a summary of the resource consumption by service,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
give me a summary of the top 10 high-memory services,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
what is philosophy,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
restart health check,execution,metric,1,level5_base,0,0,1,0,0,0,0,1,1,0,0
enable the graceful shutdown sequence on the workers,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
enable the maintenance page on the cdn,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
give me an overview of the cache performance metrics,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize monthly trends,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
summarize the api gateway error breakdown for the week,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
who is napoleon,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the api deprecation timeline and impact,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,1,0
provide a recap of the compliance checks this quarter,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
how do I fold a paper airplane,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I build a model train,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the cpu steal time on the vm host,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
give me a summary of the audit findings by control area,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I draw,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
check why the replica is not accepting writes,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
configure the slack webhook for incident notifications,execution,incident,1,level5_base,0,0,0,1,0,0,0,1,1,1,0
tell me about coral reefs,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
analyze the high rate of cache evictions,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
bounce the application pool in iis,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
configure the secret zero bootstrap for the service,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
analyze the cpu soft irq time spikes,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
label the nodes for the gpu workload,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
what is evolution,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the stale configmap being used after rollout,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
apply the updated retention policy to the log bucket,execution,metric,1,level5_base,0,0,1,0,0,0,0,1,1,0,0
remove the stale cname record,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
how do I make a terrarium,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about chameleons,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
sync the configuration from the control plane,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
who invented the airplane,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
restart the coordination service,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
enable the brotli compression on the proxy,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
execute the blue green deployment switch,execution,pipeline,1,level5_base,0,0,0,0,0,1,0,1,1,0,0
investigate the slow kafka consumer group commit,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
apply the horizontal pod autoscaler policy,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
summarize the load test results from yesterday,summarization,job,1,level5_base,0,0,0,0,1,0,0,0,0,0,0
enable circuit breaker,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
what is the most spoken language in the world,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
enable the slow query log on the database,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
check what is causing the repeated pod preemptions,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
check what caused sync failure,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,1,0
provide a recap of the capacity forecast model output,summarization,job,1,level5_base,0,0,0,0,1,0,0,0,0,0,0
what is entropy,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why are the kubernetes events showing back-off restart,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
give me an overview of the service catalog coverage gaps,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
tell me about wolves,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
configure the cache-control headers on the web server,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
provide a brief on the api deprecation timeline,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
give me an overview of the cold storage growth rate,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
what is painting,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the network policy audit results,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
give me an overview of the pod scheduling efficiency,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
apply rate limiting,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
check why the liveness probe keeps failing,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
provide a brief on the observability coverage by service,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
who wrote a midsummer night dream,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about the machu picchu history,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the multicast routing failure on the switch,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,1,0
deploy the latest build to staging,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
analyze the failed deployment,investigate,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
what is causing the session timeout in the middleware,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is causing the frequent index rebuilds,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is the etl pipeline producing duplicate records,investigate,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
summarize the infrastructure drift detection report,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
who composed the magic flute,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the security audit findings,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
why is the dns resolution returning stale results,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
